request_type,total_requests,failures,avg_latency,p95_latency,queue_p95,throughput_per_min,success_rate
law_nda,6200,1,2.8546,4.5992,0.8834,2610.0815,0.9998
finance_pnl,3800,0,1.735,2.67,0.6357,3648.7241,1.0
